,0
0,start
1,loop 32
2,loop 31
3,loop 31
4,loop 31
5,loop 31
6,loop 31
7,loop 31
8,loop 31
9,loop 31
10,loop 31
11,loop 31
12,loop 31
13,loop 31
14,loop 31
15,loop 31
16,loop 31
17,loop 31
18,loop 31
19,loop 31
20,loop 31
21,loop 31
22,loop 31
23,loop 31
24,loop 31
25,loop 31
26,loop 31
27,loop 31
28,loop 31
29,loop 31
30,loop 31
31,loop 31
32,loop 31
33,loop 31
34,loop 31
35,loop 31
36,loop 31
37,loop 31
38,loop 31
39,loop 31
40,loop 31
41,loop 31
42,loop 31
43,loop 31
44,loop 31
45,loop 31
46,loop 31
47,loop 31
48,loop 31
49,loop 31
50,loop 31
51,loop 31
52,loop 31
53,loop 31
54,loop 31
55,loop 31
56,loop 31
57,loop 31
58,loop 31
59,loop 31
60,loop 31
61,loop 31
62,loop 31
63,loop 31
64,loop 31
65,loop 31
66,loop 31
67,loop 31
68,loop 31
69,loop 31
70,loop 31
71,loop 31
72,loop 31
73,loop 31
74,loop 31
75,loop 31
76,loop 31
77,loop 31
78,loop 31
79,loop 31
80,loop 31
81,loop 31
82,loop 31
83,loop 31
84,loop 31
85,loop 31
86,loop 31
87,loop 31
88,loop 31
89,loop 31
90,loop 31
91,loop 31
92,loop 31
93,loop 31
94,loop 31
95,loop 31
96,loop 31
97,loop 31
98,loop 31
99,loop 31
100,loop 31
101,loop 31
102,loop 31
103,lever_on 01:44:777
104,lever_off 01:45:339
105,loop 31
106,lever_on 01:46:297
107,loop 31
108,lever_off 01:47:321
109,loop 31
110,lever_on 01:47:816
111,lever_off 01:47:949
112,loop 31
113,lever_on 01:49:039
114,lever_off 01:49:270
115,loop 31
116,lever_on 01:49:930
117,lever_off 01:50:129
118,lever_on 01:50:525
119,loop 31
120,lever_off 01:50:855
121,lever_on 01:51:186
122,loop 31
123,lever_off 01:51:714
124,loop 31
125,loop 31
126,loop 31
127,loop 31
128,loop 31
129,loop 31
130,loop 31
131,loop 31
132,loop 31
133,loop 31
134,loop 31
135,loop 31
136,loop 31
137,loop 31
138,loop 31
139,loop 31
140,loop 31
141,loop 31
142,loop 31
143,loop 31
144,loop 31
145,loop 31
146,loop 31
147,loop 31
148,loop 31
149,loop 31
150,loop 31
151,loop 31
152,loop 31
153,loop 31
154,loop 31
155,loop 31
156,loop 31
157,loop 31
158,loop 31
159,loop 31
160,loop 31
161,loop 31
162,loop 31
163,loop 31
164,loop 31
165,loop 31
166,loop 31
167,loop 31
168,loop 31
169,loop 31
170,loop 31
171,loop 31
172,loop 31
173,loop 31
174,loop 31
175,loop 31
176,loop 31
177,loop 31
178,loop 31
179,loop 31
180,loop 31
181,loop 31
182,loop 31
183,loop 31
184,loop 31
185,loop 31
186,loop 31
187,loop 31
188,loop 31
189,lever_on 02:59:166
190,loop 31
191,loop 31
192,lever_off 03:00:917
193,loop 31
194,loop 31
195,loop 31
196,loop 31
197,loop 31
198,loop 31
199,end
